Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2022-04-21,165.94532775878906,251.48179626464844,185.04750061035156,181.02000427246094,229.85903930664062,177.22999572753906,52.3091926574707,161.7672576904297,121.66000366210938,67.89385223388672,331.79498291015625,306.4129638671875,193.97137451171875,136.45465087890625,46.656455993652344,180.9733123779297,129.4152374267578,65.25926971435547,252.46124267578125,148.72531127929688,84.84601593017578,279.5640869140625,134.73822021484375,161.56117248535156,174.3343505859375,533.8551025390625,215.65542602539062,54.32651138305664,45.723140716552734,158.60023498535156
2022-04-22,161.3285369873047,246.4513702392578,179.8668670654297,176.9199981689453,214.80389404296875,171.42999267578125,50.901859283447266,158.19927978515625,118.2699966430664,66.90733337402344,317.37384033203125,296.2933044433594,188.7147216796875,134.8934783935547,45.713504791259766,179.17698669433594,125.6981201171875,64.31305694580078,247.43673706054688,146.17747497558594,83.23233032226562,272.8141784667969,128.38226318359375,160.20993041992188,171.21876525878906,517.4651489257812,207.4058074951172,51.26502990722656,44.482627868652344,155.61415100097656
2022-04-25,162.41543579101562,248.24302673339844,183.41360473632812,175.91000366210938,215.2011260986328,174.57000732421875,51.4766845703125,154.79843139648438,119.94999694824219,66.48733520507812,319.0115051269531,301.0618896484375,189.89276123046875,135.7228546142578,46.22426986694336,183.58880615234375,125.6584701538086,64.99315643310547,250.11712646484375,145.618896484375,84.06869506835938,279.4744873046875,127.25827026367188,161.50155639648438,172.53424072265625,520.77294921875,209.1792755126953,49.65528106689453,44.33610916137695,155.69351196289062
2022-04-26,156.352783203125,245.9788360595703,177.98391723632812,167.0399932861328,208.84539794921875,170.0800018310547,50.44596481323242,153.85484313964844,115.7699966430664,65.8036117553711,310.773681640625,296.1452331542969,185.78445434570312,132.8834991455078,44.71161651611328,182.27610778808594,121.94134521484375,64.11593627929688,245.86410522460938,141.32676696777344,83.12409973144531,269.02105712890625,119.8778076171875,158.7593536376953,170.773681640625,510.35296630859375,200.3617706298828,48.79609298706055,43.828182220458984,154.06655883789062
2022-04-27,156.12344360351562,244.9156494140625,176.9677276611328,154.4600067138672,212.48008728027344,174.67999267578125,48.870147705078125,153.56979370117188,115.20999908447266,65.88174438476562,310.88287353515625,297.7643737792969,184.4777374267578,131.78094482421875,44.41694641113281,179.72970581054688,120.35537719726562,64.61860656738281,244.43983459472656,141.31698608398438,83.05522918701172,281.9634094238281,120.5939712524414,158.33212280273438,171.65396118164062,510.3826904296875,213.3240203857422,47.85789489746094,43.203041076660156,153.0149688720703
2022-04-28,163.1732635498047,234.42166137695312,181.30149841308594,154.22000122070312,210.97059631347656,185.74000549316406,50.17837142944336,159.02493286132812,115.29000091552734,66.2333755493164,316.0240478515625,307.7951965332031,188.01185607910156,132.44442749023438,46.0081787109375,181.07200622558594,122.258544921875,65.23956298828125,251.41282653808594,144.1881866455078,87.15829467773438,288.344970703125,126.3730239868164,162.3560028076172,172.5935821533203,520.9219360351562,219.8499755859375,47.798641204833984,43.49607849121094,154.96932983398438
2022-04-29,157.20034790039062,229.55859375,174.05862426757812,148.83999633789062,209.08372497558594,175.94000244140625,48.543087005615234,153.992431640625,111.62999725341797,64.9538345336914,303.20086669921875,296.57965087890625,191.56578063964844,129.00013732910156,42.81589126586914,178.11105346679688,118.31344604492188,63.682247161865234,246.43777465820312,141.32676696777344,87.26653289794922,276.2886657714844,124.03553771972656,159.5144500732422,169.191162109375,505.1578063964844,212.3476104736328,45.7247314453125,41.415531158447266,151.77490234375
2022-05-02,157.50946044921875,227.3239288330078,170.98013305664062,148.61000061035156,210.60316467285156,177.57000732421875,49.41524124145508,157.01979064941406,113.5,65.50080871582031,308.09393310546875,303.06610107421875,194.89202880859375,129.80996704101562,44.161563873291016,176.3147430419922,119.39388275146484,62.529048919677734,243.94529724121094,142.9828643798828,86.24321746826172,283.2078552246094,125.40818786621094,157.35845947265625,168.23175048828125,497.8071594238281,210.75347900390625,45.655601501464844,41.532745361328125,150.77291870117188
2022-05-03,159.02513122558594,228.5741729736328,171.4683074951172,153.5800018310547,212.14242553710938,178.36000061035156,49.474700927734375,159.7129669189453,113.55000305175781,66.56547546386719,312.3021545410156,301.0816345214844,195.06031799316406,129.3026123046875,44.259788513183594,175.9692840576172,121.95126342773438,62.17422103881836,243.1837158203125,145.1093292236328,85.7020492553711,280.52978515625,122.2053451538086,155.20245361328125,169.88351440429688,496.2873840332031,207.7943878173828,46.58392333984375,41.9429931640625,151.2987060546875
2022-05-04,165.54649353027344,232.42327880859375,177.1570281982422,156.97000122070312,221.05038452148438,185.47999572753906,51.11989974975586,164.72581481933594,116.19000244140625,68.96827697753906,321.68133544921875,311.3000183105469,203.7818145751953,134.06411743164062,45.713504791259766,177.85443115234375,125.9855728149414,64.09622192382812,251.54139709472656,151.13595581054688,87.09925842285156,288.69342041015625,125.3882827758789,156.34503173828125,173.533203125,504.2340087890625,213.7324981689453,47.769012451171875,43.42770004272461,153.39193725585938
